category,pattern,evidence,strength,use_in_thesis
4-cycle constraints,Bad 4-cycle constraints can change the optimal clustering even when the cost stays the same.,Clustering changed in 602/2624 known runs = 22.942%; same-cost different-clustering cases: 518,medium,yes
4-cycle constraints,Bad 4-cycle constraints rarely change the ILP objective cost.,Cost changed in 89/2624 runs = 3.392%,strong,yes
bad triangles,"In clique graphs, bad triangles are strongly related to ILP cost.",Correlation bad triangles vs ILP: 0.920,strong,yes
bad triangles,"In facebook graphs, bad triangles are strongly related to ILP cost.",Correlation bad triangles vs ILP: 1.000,strong,yes
bad triangles,"In random graphs, bad triangles are strongly related to ILP cost.",Correlation bad triangles vs ILP: 0.948,strong,yes
random p+,"As p+ increases, edge deletion reduces the ILP cost less.",Correlation p+ vs cost reduction: -0.982,strong,yes
random p+,Edge deletion has the strongest cost-reduction effect when p+ is low.,Highest reduction at p+=0.2: 85.074%; weakest at p+=0.8: 3.678%,strong,yes
bad triangles,"In clique graphs, edge deletion removes many bad triangles.",Average removed fraction: 38.172%,strong,likely
bad triangles,"In clique graphs, edge-disjoint bad triangles track ILP cost.",Correlation max disjoint bad triangles vs ILP: 0.993,strong,likely
bad triangles,"In facebook graphs, edge deletion removes many bad triangles.",Average removed fraction: 35.322%,strong,likely
bad triangles,"In facebook graphs, edge-disjoint bad triangles track ILP cost.",Correlation max disjoint bad triangles vs ILP: 1.000,strong,likely
bad triangles,"In random graphs, edge deletion removes many bad triangles.",Average removed fraction: 56.914%,strong,likely
bad triangles,"In random graphs, edge-disjoint bad triangles track ILP cost.",Correlation max disjoint bad triangles vs ILP: 0.978,strong,likely
clique size,Larger clique sizes are related to more bad 4-cycles after edge deletion.,Correlation largest clique size vs bad 4-cycles: 0.931,strong,likely
complete vs new,"In clique graphs, Pivot usually becomes worse relative to ILP after edge deletion.",Average Pivot/ILP change new - complete: 0.373,strong,likely
complete vs new,"In clique graphs, edge deletion lowers the ILP objective cost.",Average cost reduction: 15.343%,medium,likely
complete vs new,"In facebook graphs, Pivot usually becomes worse relative to ILP after edge deletion.",Average Pivot/ILP change new - complete: 0.181,medium,likely
complete vs new,"In facebook graphs, edge deletion lowers the ILP objective cost.",Average cost reduction: 14.022%,medium,likely
complete vs new,"In random graphs, edge deletion lowers the ILP objective cost.",Average cost reduction: 36.910%,strong,likely
random n,"For random graphs, LP/ILP complete becomes looser as n grows.",Correlation n vs LP/ILP complete: -0.990,strong,likely
random n,"For random graphs, the percentage cost reduction from edge deletion decreases as n grows.",Correlation n vs cost reduction: -0.881,strong,likely
clique size,Larger clique sizes are related to worse Pivot performance on the new graph.,Correlation largest clique size vs Pivot/ILP new: 0.607,medium,maybe
clique size,More imbalanced clique/community structures are related to worse Pivot performance.,Correlation imbalance vs Pivot/ILP complete: 0.449; imbalance vs Pivot/ILP new: 0.456,medium,maybe
complete vs new,"In clique graphs, LP tightness changes only slightly after edge deletion.",Average LP/ILP change new - complete: 0.001,weak,maybe
complete vs new,"In facebook graphs, LP tightness changes only slightly after edge deletion.",Average LP/ILP change new - complete: -0.002,weak,maybe
complete vs new,"In random graphs, LP tightness changes only slightly after edge deletion.",Average LP/ILP change new - complete: 0.032,weak,maybe
complete vs new,"In random graphs, Pivot usually becomes worse relative to ILP after edge deletion.",Average Pivot/ILP change new - complete: 0.031,weak,maybe
random n,"For random graphs, Pivot/new tends to become worse as n grows.",Correlation n vs Pivot/ILP new: 0.993,strong,maybe
